ccpp_ubigeo,ccpp_name,year,month,week,day,variable,value
1601130017,QUISTOCOCHA,2023,6,23,2023-06-04,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-04,temp_out,26.630555555555556
1601130017,QUISTOCOCHA,2023,6,23,2023-06-05,out_humm,89.39583333333333
1601130017,QUISTOCOCHA,2023,6,23,2023-06-05,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-05,temp_out,26.10902777777778
1601130017,QUISTOCOCHA,2023,6,23,2023-06-06,out_humm,91.1875
1601130017,QUISTOCOCHA,2023,6,23,2023-06-06,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-06,temp_out,25.447222222222223
1601130017,QUISTOCOCHA,2023,6,23,2023-06-07,out_humm,90.46527777777777
1601130017,QUISTOCOCHA,2023,6,23,2023-06-07,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-07,temp_out,25.284027777777776
1601130017,QUISTOCOCHA,2023,6,23,2023-06-08,out_humm,91.83018867924528
1601130017,QUISTOCOCHA,2023,6,23,2023-06-08,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-08,temp_out,25.262264150943395
1601130017,QUISTOCOCHA,2023,6,23,2023-06-09,out_humm,83.97368421052632
1601130017,QUISTOCOCHA,2023,6,23,2023-06-09,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-09,temp_out,27.659649122807018
1601130017,QUISTOCOCHA,2023,6,23,2023-06-10,out_humm,90.875
1601130017,QUISTOCOCHA,2023,6,23,2023-06-10,rain,0
1601130017,QUISTOCOCHA,2023,6,23,2023-06-10,temp_out,25.93611111111111
1601130017,QUISTOCOCHA,2023,6,24,2023-06-11,out_humm,88.48611111111111
1601130017,QUISTOCOCHA,2023,6,24,2023-06-11,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-11,temp_out,26.760416666666668
1601130017,QUISTOCOCHA,2023,6,24,2023-06-12,out_humm,89.20833333333333
1601130017,QUISTOCOCHA,2023,6,24,2023-06-12,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-12,temp_out,26.205555555555556
1601130017,QUISTOCOCHA,2023,6,24,2023-06-13,out_humm,93.52083333333333
1601130017,QUISTOCOCHA,2023,6,24,2023-06-13,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-13,temp_out,24.891666666666666
1601130017,QUISTOCOCHA,2023,6,24,2023-06-14,out_humm,94.19455252918289
1601130017,QUISTOCOCHA,2023,6,24,2023-06-14,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-14,temp_out,23.049416342412453
1601130017,QUISTOCOCHA,2023,6,24,2023-06-15,out_humm,89.1875
1601130017,QUISTOCOCHA,2023,6,24,2023-06-15,rain,0.003541666666666667
1601130017,QUISTOCOCHA,2023,6,24,2023-06-15,temp_out,18.32847222222222
1601130017,QUISTOCOCHA,2023,6,24,2023-06-16,out_humm,84.80246913580247
