fid,Latitud,Longitud,Fecha,foto,class,type
92,-3.8843,-73.3525,2023-03-31,DCIM/cobertura_20230331152832473.jpg,Vegetation,cobertura
93,-3.8856,-73.3524,2023-03-31,DCIM/cobertura_20230331153552036.jpg,Vegetation,cobertura
94,-3.8868,-73.3519,2023-03-31,DCIM/cobertura_20230331154025585.jpg,Vegetation,cobertura
95,-3.8869,-73.3531,2023-03-31,DCIM/cobertura_20230331154535078.jpg,Vegetation,cobertura
96,-3.8268,-73.3531,2023-04-02,DCIM/cobertura_20230402151043638.jpg,Vegetation,cobertura
97,-3.8285,-73.353,2023-04-02,DCIM/cobertura_20230402152227511.jpg,Vegetation,cobertura
98,-3.8289,-73.3536,2023-04-02,DCIM/cobertura_20230402152438087.jpg,Vegetation,cobertura
99,-3.8279,-73.3552,2023-04-02,DCIM/cobertura_20230402153257332.jpg,Vegetation,cobertura
100,-3.8285,-73.3529,2023-04-02,DCIM/cobertura_20230402153454772.jpg,Vegetation,cobertura
101,-3.8561,-73.4133,2023-03-25,DCIM/cobertura_20230325151207343.jpg,Vegetation,cobertura
102,-3.8565,-73.4134,2023-03-25,DCIM/cobertura_20230325151516608.jpg,Vegetation,cobertura
103,-3.8569,-73.4134,2023-03-25,DCIM/cobertura_20230325151705797.jpg,Vegetation,cobertura
104,-3.8573,-73.4134,2023-03-25,DCIM/cobertura_20230325152014917.jpg,Vegetation,cobertura
105,-3.8576,-73.4134,2023-03-25,DCIM/cobertura_20230325152125478.jpg,Vegetation,cobertura
106,-3.8578,-73.4134,2023-03-25,DCIM/cobertura_20230325152229977.jpg,Vegetation,cobertura
107,-3.8582,-73.4133,2023-03-25,DCIM/cobertura_20230325152351073.jpg,Vegetation,cobertura
108,-3.8587,-73.4133,2023-03-25,DCIM/cobertura_20230325153057506.jpg,Vegetation,cobertura
109,-3.8591,-73.4133,2023-03-25,DCIM/cobertura_20230325153354914.jpg,Vegetation,cobertura
110,-4.2176,-73.4833,2023-03-26,DCIM/cobertura_20230326115457991.jpg,Vegetation,cobertura
111,-4.2176,-73.4833,2023-03-26,DCIM/cobertura_20230326115901967.jpg,Vegetation,cobertura
112,-4.2176,-73.4833,2023-03-26,DCIM/cobertura_20230326120318641.jpg,Vegetation,cobertura
113,-4.2176,-73.4833,2023-03-26,DCIM/cobertura_20230326120505306.jpg,Vegetation,cobertura
114,-4.2176,-73.4833,2023-03-26,DCIM/cobertura_20230326120841379.jpg,Vegetation,cobertura
115,-4.2167,-73.4833,2023-03-26,DCIM/cobertura_20230326121229398.jpg,Vegetation,cobertura
116,-4.2167,-73.4833,2023-03-26,DCIM/cobertura_20230326121827676.jpg,Vegetation,cobertura
117,-4.2198,-73.483,2023-03-26,DCIM/cobertura_20230326122550722.jpg,Vegetation,cobertura
118,-4.2199,-73.483,2023-03-26,DCIM/cobertura_20230326122712261.jpg,Vegetation,cobertura
119,-4.2201,-73.4829,2023-03-26,DCIM/cobertura_20230326122811725.jpg,Vegetation,cobertura
120,-4.2204,-73.4828,2023-03-26,DCIM/cobertura_20230326122904038.jpg,Vegetation,cobertura
121,-4.2209,-73.4827,2023-03-26,DCIM/cobertura_20230326123155516.jpg,Vegetation,cobertura
122,-4.2214,-73.4826,2023-03-26,DCIM/cobertura_20230326123317271.jpg,Vegetation,cobertura
123,-4.2216,-73.4825,2023-03-26,DCIM/cobertura_20230326123406175.jpg,Vegetation,cobertura
124,-4.2219,-73.4825,2023-03-26,DCIM/cobertura_20230326123501965.jpg,Vegetation,cobertura
125,-4.2225,-73.4824,2023-03-26,DCIM/cobertura_20230326123645268.jpg,Vegetation,cobertura
126,-4.2221,-73.4826,2023-03-26,DCIM/cobertura_20230326123918132.jpg,Vegetation,cobertura
127,-4.2215,-73.4827,2023-03-26,DCIM/cobertura_20230326124554768.jpg,Vegetation,cobertura
128,-3.9588,-73.3455,2023-03-29,DCIM/cobertura_20230329091224946.jpg,Vegetation,cobertura
129,-3.9582,-73.3458,2023-03-29,DCIM/cobertura_20230329091745379.jpg,Vegetation,cobertura
130,-3.9589,-73.3463,2023-03-29,DCIM/cobertura_20230329092028821.jpg,Vegetation,cobertura
131,-3.9586,-73.3477,2023-03-29,DCIM/cobertura_20230329092634235.jpg,Vegetation,cobertura
132,-3.9572,-73.3481,2023-03-29,DCIM/cobertura_20230329092909582.jpg,Vegetation,cobertura
133,-3.9578,-73.3497,2023-03-29,DCIM/cobertura_20230329093020901.jpg,Vegetation,cobertura
134,-4.1492000000000004,-73.4601,2023-03-29,DCIM/cobertura_20230329132413776.jpg,Vegetation,cobertura
135,-4.1501,-73.4597,2023-03-29,DCIM/cobertura_20230329133126905.jpg,Vegetation,cobertura
136,-4.1495,-73.4587,2023-03-29,DCIM/cobertura_20230329133552649.jpg,Vegetation,cobertura
137,-4.1508,-73.4589,2023-03-29,DCIM/cobertura_20230329133726601.jpg,Vegetation,cobertura
138,-4.1499,-73.4587,2023-03-29,DCIM/cobertura_20230329133837209.jpg,Vegetation,cobertura
139,-4.104,-73.454,2023-03-30,DCIM/cobertura_20230330095201646.jpg,Vegetation,cobertura
140,-4.1043,-73.4535,2023-03-30,DCIM/cobertura_20230330095513317.jpg,Vegetation,cobertura
141,-4.1047,-73.453,2023-03-30,DCIM/cobertura_20230330095749006.jpg,Vegetation,cobertura
142,-4.105,-73.4524,2023-03-30,DCIM/cobertura_20230330100132948.jpg,Water bodies,cobertura
143,-4.1051,-73.4511,2023-03-30,DCIM/cobertura_20230330100534036.jpg,Vegetation,cobertura
144,-4.1055,-73.4504,2023-03-30,DCIM/cobertura_20230330100756087.jpg,Vegetation,cobertura
145,-4.1058,-73.4499,2023-03-30,DCIM/cobertura_20230330100837170.jpg,Vegetation,cobertura
146,-4.1048,-73.4508,2023-03-30,DCIM/cobertura_20230330101116490.jpg,Water bodies,cobertura
147,-4.0436,-73.4383,2023-03-30,DCIM/cobertura_20230330160609016.jpg,Vegetation,cobertura
148,-4.0428,-73.439,2023-03-30,DCIM/cobertura_20230330161130870.jpg,Vegetation,cobertura
149,-4.0429,-73.4386,2023-03-30,DCIM/cobertura_20230330161349762.jpg,Vegetation,cobertura
