fid;UBIGEO;NOMCP;DEP;PROV;DIST;UBIGEOCP;LNG;LAT;DENGUE;MALARIA;LEPTOSPIROSIS;GROUP;fid,UBIGEO,NOMCP,DEP,PROV,DIST,UBIGEOCP,LNG,LAT,GROUP
31;160113;HABANA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130049;-73.479276;-4.203191;0;0;0;INNOVALAB;"31,""160113"",HABANA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130049"",""-73.479276"",""-4.203191"",INNOVALAB"
32;160113;NUEVO MIRAFLORES;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130054;-73.466734;-4.223144;0;0;0;INNOVALAB;"32,""160113"",NUEVO MIRAFLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130054"",""-73.466734"",""-4.223144"",INNOVALAB"
33;160113;12 DE OCTUBRE;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130057;-73.548449;-4.246472;0;0;0;INNOVALAB;"33,""160113"",12 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130057"",""-73.548449"",""-4.246472"",INNOVALAB"
34;160113;ANGEL CARDENAS;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130074;-73.426447;-4.05018;0;1;0;INNOVALAB;"34,""160113"",ANGEL CARDENAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130074"",""-73.426447"",""-4.05018"",INNOVALAB"
35;160113;CREACION 2000;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130077;-73.395123;-4.082073;0;0;0;INNOVALAB;"35,""160113"",CREACION 2000,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130077"",""-73.395123"",""-4.082073"",INNOVALAB"
36;160113;NUEVO TRIUNFO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130078;-73.497835;-4.126287;0;3;0;INNOVALAB;"36,""160113"",NUEVO TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130078"",""-73.497835"",""-4.126287"",INNOVALAB"
37;160113;HUAMBE;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130079;-73.49033;-4.162137;0;0;0;INNOVALAB;"37,""160113"",HUAMBE,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130079"",""-73.49033"",""-4.162137"",INNOVALAB"
38;160113;10 DE OCTUBRE II ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130082;-73.462008;-4.15309;0;0;0;INNOVALAB;"38,""160113"",10 DE OCTUBRE II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130082"",""-73.462008"",""-4.15309"",INNOVALAB"
39;160113;LOS CEDROS;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130083;-73.451622;-4.2224;0;4;2;INNOVALAB;"39,""160113"",LOS CEDROS,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130083"",""-73.451622"",""-4.2224"",INNOVALAB"
40;160113;HUASCAR;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130084;-73.546;-4.260209;0;0;0;INNOVALAB;"40,""160113"",HUASCAR,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130084"",""-73.546"",""-4.260209"",INNOVALAB"
