ubigeo,nomcp,dep,prov,dist,ubigeocp,lng,lat,group,poblacion,dengue,malaria,leptospirosis,pr_avg,ro_avg,soil_avg,tmmx_avg,tmmn_avg,etp_avg,humidity_avg,pop_avg,def_avg,ghsl_avg,ln_avg,malaria_avg,pr_diff,ro_diff,soil_diff,tmmx_diff,tmmn_diff,etp_diff,humidity_diff,pop_diff,def_diff,ghsl_diff,ln_diff,malaria_diff
160113,NUEVO MILAGRO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130034,-73.374641,-3.938261,INNOVALAB,163,0,0.06134969325153374,0,2349.2471387,1369.4947728500001,463.1043428,376.99907840000003,262.2368974,32.240633563636365,0.21762405,0.5805824,0.7624202,1244.2218068,0.69116925,81.5,1297.7007382000002,1203.9679929,65.11602340000002,-0.5855521999999951,-0.5855521999999951,-0.26095043636363613,7.467000000000168e-4,0.20703220000000006,0.3300136,1036.1594278000002,0.36010029999999993,-0.006134969325153374
160113,VILLA EL BUEN PASTOR,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130036,-73.362468,-3.94906,INNOVALAB,65,0.015384615384615385,0.7846153846153846,0,2344.8348610499997,1364.89518405,465.4507754,377.04652925,262.59944505,32.50834293636363,0.21773575,0.6208763,0.7118173999999999,1225.54065195,0.669316,32.5,1295.3594609,1202.0129317,65.30174899999997,-0.6794826999999941,-0.6794826999999941,-0.33143949090909786,7.21499999999986e-4,0.22962280000000002,0.17397059999999998,953.3735932999999,0.334488,-0.015384615384615385
160113,SAN JOSE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130026,-73.391568,-3.931736,INNOVALAB,123,0.016260162601626018,0.016260162601626018,0.008130081300813009,2351.3301247,1372.7800405500002,461.10461245,377.12805605,262.03918145,31.888164090909093,0.21744565,0.48512675000000005,0.630736,1160.3588677,0.67367705,184.5,1299.5703752,1205.0475601,64.59496189999999,-0.46940510000001723,-0.46940510000001723,0.11608299999999971,7.931000000000188e-4,0.17570650000000004,0.33541600000000005,926.5771348,0.3714907,0.008130081300813009
160113,3 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130012,-73.361572,-3.966216,INNOVALAB,35,0,0,0,2339.67144765,1359.8432669499998,468.12246085,377.23478005000004,262.93558265,32.671766459090904,0.21780325,0.5312186999999999,0.7227921500000001,891.8963873499999,0.6186964,0,1292.8482460999999,1199.8969977,65.20995349999998,-0.7407450999999696,-0.7407451000000265,-0.25312953636363744,7.328999999999808e-4,0.1760448,0.009150899999999962,743.3140864999999,0.32337,0
160113,BELEN DE JUDA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130013,-73.384126,-3.978227,INNOVALAB,23,0,0,0,2338.58073625,1358.95325275,468.43243815,377.50805130000003,262.9045484,32.76367529090909,0.2176371,0.46967505,0.7826689,1111.574653,0.62484715,0,1292.4625674999997,1199.5498687,64.9381955,-0.6607640000000288,-0.6607639999999719,0.1428865999999971,8.040000000000269e-4,0.20211170000000006,-0.10599439999999993,994.5043322,0.32199249999999996,0
160113,13 DE FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130031,-73.433988,-4.01441,INNOVALAB,670,0.0029850746268656717,0.004477611940298508,0.0014925373134328358,2329.9885812,1348.19461505,469.4545081,377.9293991,262.75511,32.74639985909091,0.21720445,0.40708275,0.6245580000000001,693.93468125,0.5133402,9715,1285.3691172000001,1191.5162489,63.37064299999997,-0.4981917999999723,-0.4981917999999723,-0.02972348181818063,0.0010107000000000033,0.19471669999999996,-0.3151662,365.51555510000003,0.35040420000000005,-0.04328358208955224
160113,5 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130020,-73.39309,-4.003298,INNOVALAB,31,0,0,0,2331.04996285,1349.9375279,471.3460119,377.8962398,263.28392865,33.25429153636364,0.21770935,0.42579635000000005,0.75343385,695.29115265,0.47928985,0,1286.8765419000001,1194.1656676,64.84562299999999,-0.63219220000002,-0.6321923000000425,0.636347290909093,8.751000000000175e-4,0.15685010000000005,0.13426210000000005,595.8997013000001,0.34720550000000006,0
160113,PAUJIL II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130030,-73.469968,-4.00331,INNOVALAB,51,0,0,0,2331.51290565,1350.9879366,465.8587565,377.78897945,262.10497150000003,32.06232045454546,0.21697919999999998,0.2772529,0.44275719999999996,352.03405545,0.49985310000000005,0,1288.2711915,1193.5510032000002,61.95009160000001,-0.3905029000000013,-0.39050279999997883,-0.8044317636363658,0.0010333999999999899,0.11847279999999999,-0.4248942,190.9973627,0.34797740000000005,0
160113,24 DE JUNIO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,-73.423672,-4.02111,INNOVALAB,16,0,0,0,2327.42982065,1345.1028537500001,470.9743906,378.0820873,263.05840515,33.002750854545454,0.2173792,0.4303536,0.64715115,736.5723120499999,0.50131785,0,1281.9516945,1188.6879707,63.804587800000036,-0.5332291999999939,-0.5332293000000163,0.21361179999999536,9.964000000000084e-4,0.19153960000000003,-0.20945649999999993,376.6657537,0.3542389,0
160113,NUEVO HORIZONTE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130033,-73.445628,-4.071663,INNOVALAB,308,0,0.025974025974025976,0,2308.2319049,1327.27290065,474.12545950000003,378.7965197,263.58523405000005,32.812188254545454,0.21729765,0.3805132,0.72127695,902.67320695,0.61422595,0,1258.9442655999999,1166.8982412999999,62.20945260000002,-0.5980629999999678,-0.5980629000000022,-0.5051821636363627,0.001095700000000005,0.18323,-0.3318791,350.48313110000004,0.47122329999999996,0
160113,EX PETROLEROS II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,-73.47498,-4.064827,INNOVALAB,9,0,0,0,2307.9166254,1327.8344397,471.6988804,378.6662266,263.06580055,32.63608501363636,0.2171217,0.3388386,0.6366267,822.3636098,0.61937615,4.5,1260.7066283999998,1168.0014861999998,60.9662836,-0.5409442000000126,-0.5409442999999783,-0.7945415545454537,0.0011162000000000116,0.1708908,-0.6220026000000001,301.46958860000007,0.5066975,-0.1111111111111111
160113,EX PETROLERO I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130037,-73.453248,-4.0946109999999996,INNOVALAB,796,0.001256281407035176,0.02386934673366834,0,2298.3329952,1317.7629026500001,475.8537409,379.10572765,263.7655475,32.956705277272725,0.21737615,0.3521429,0.7956219499999999,816.4088913,0.60894585,2786,1247.8181504000001,1155.8229007,61.57218560000001,-0.6150973000000022,-0.6150971999999797,-0.71596899090909,0.0011565000000000047,0.1533854,-0.36710509999999996,398.86156960000005,0.4839009,-0.001256281407035176
160113,SAN PEDRO PINTUYACU,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130040,-73.402808,-4.103035,INNOVALAB,21,0,0,0,2291.64629255,1311.00302145,480.25821240000005,379.0894596,264.3341919,33.79071697727273,0.2180087,0.25879225,0.5241047,105.77176940000001,0.564503,10.5,1239.2705929,1147.3642083,62.08848879999999,-0.666055799999981,-0.666055799999981,-0.17703139090909303,0.0010861999999999816,0.025027699999999986,-0.22180599999999995,83.08039900000001,0.4506724,-0.047619047619047616
160113,SAN LUCAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130045,-73.454582,-4.103997,INNOVALAB,186,0,0.043010752688172046,0,2294.3003616,1313.6549854,476.73248795,379.21080044999997,263.81931495000003,32.97942328636364,0.21741054999999998,0.3593169,0.80092125,803.01007465,0.60235265,1302,1243.1733121999998,1151.1158056,61.402020900000025,-0.6051563000000328,-0.6051563000000328,-0.8026412272727228,0.0011827000000000087,0.15998259999999997,-0.3988584999999999,398.32487990000004,0.48144250000000005,-0.06451612903225806
160113,UNION,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130043,-73.415961,-4.127523,INNOVALAB,16,0,0,0,2283.4325375,1303.47825545,481.7234286,379.3005721,264.29419240000004,33.75883969090909,0.21787915000000002,0.2412476,0.53119655,125.1310379,0.57167335,672,1228.1926296,1136.6237554999998,61.495992799999954,-0.568997999999965,-0.5689980000000219,-0.4639373090909089,0.0011863000000000012,0.035655800000000015,-0.06764370000000003,114.76121519999998,0.43749750000000004,-4.25
160113,10 DE OCTUBRE I ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130044,-73.448246,-4.123837,INNOVALAB,43,0,0,0,2286.18779075,1305.50113825,479.1413763,379.3936875,264.00483269999995,33.190058845454544,0.21747685,0.3063964,0.83354455,619.379929,0.59468705,0,1233.0207365,1141.0350391000002,61.27947640000002,-0.5772591999999577,-0.5772592000000145,-0.4551264545454572,0.0012328999999999812,0.09866520000000001,-0.2111689,319.36837699999995,0.5010327000000001,0
160113,CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130056,-73.487435,-4.230846,INNOVALAB,794,0.015113350125944584,0.0025188916876574307,0.0025188916876574307,2241.5007428999998,1260.2665296,485.09747660000005,380.85126295,264.66311475,33.41685836818182,0.21741139999999998,0.31842435,0.6301584499999999,264.08594695,0.41110115,11910,1182.4053786,1096.6450894,53.67361199999999,-0.663934500000039,-0.663934500000039,-1.4761669727272704,0.0014793999999999918,0.08530290000000001,-0.012890100000000015,51.400315500000005,0.22703049999999997,0.022670025188916875
160113,EL TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130046,-73.47431,-4.154149,INNOVALAB,112,0,0.017857142857142856,0,2273.9399307,1293.5790944999999,480.5892553,379.77607869999997,263.92487630000005,32.88434493636363,0.2173108,0.2638612,0.7707109999999999,129.77721259999998,0.50849245,112,1218.865809,1127.5267194,60.310603600000036,-0.5415783999999917,-0.5415783999999917,-1.059715345454542,0.0012882000000000171,0.05587060000000002,0.026061800000000024,108.12075639999999,0.4648261,-0.017857142857142856
160113,12 DE ABRIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,-73.483968,-4.219298,INNOVALAB,244,0.004098360655737705,0.004098360655737705,0,2246.3824854,1265.75284565,484.62838265,380.723248,264.61576019999995,33.28334537272727,0.21738095000000002,0.30810285,0.63297985,269.04788659999997,0.4121988,0,1187.4317034000003,1100.6442641,54.99213109999994,-0.651009600000009,-0.651009600000009,-1.430766309090906,0.0014444999999999875,0.0854355,-0.18203250000000004,52.585172399999976,0.23475839999999998,0
160113,HABANA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130049,-73.479276,-4.203191,INNOVALAB,112,0,0,0,2253.551216,1273.40296695,483.86239785,380.52636335,264.54214425,33.0634412,0.2173466,0.30280895,0.6129639,281.49829675,0.43303230000000004,0,1195.0306108,1106.7851305,56.77252470000002,-0.6314972999999782,-0.631497300000035,-1.3547147454545438,0.00139220000000001,0.0930957,-0.08180860000000001,50.41178709999997,0.2645004,0
160113,NUEVO MIRAFLORES,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130054,-73.466734,-4.223144,INNOVALAB,89,0,0,0,2246.1921934,1265.66807015,485.28512235000005,380.57211459999996,264.62969835,33.35086870909091,0.2174834,0.3139414,0.57080855,262.80581995,0.414409,0,1186.3045373999998,1099.6846641000002,54.622820500000046,-0.6662719999999922,-0.6662721000000147,-1.7152892000000008,0.0014213999999999893,0.0893254,-0.14383969999999996,56.050507899999985,0.23811480000000002,0
160113,12 DE OCTUBRE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130057,-73.548449,-4.246472,INNOVALAB,61,0,0,0,2226.73731875,1245.48124415,488.37312565,381.28550005,264.56967384999996,32.93016113636364,0.2173463,0.2016717,0.399028,17.54024775,0.43041950000000007,30.5,1167.5363983,1082.7942297,51.54471710000007,-0.6298807000000011,-0.6298807000000011,-1.2601867272727247,0.001612200000000008,-0.017687399999999992,0.03294220000000003,11.3947773,0.24059020000000003,-0.01639344262295082
160113,ANGEL CARDENAS,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130074,-73.426447,-4.05018,INNOVALAB,50,0,0.02,0,2317.0116423,1334.68558335,473.48779785,378.5155759,263.5235125,33.203321959090914,0.21743985,0.43945065000000005,0.74683915,721.10223245,0.5541847,0,1269.042061,1176.9151845,63.43933609999999,-0.5923705999999811,-0.5923705999999811,-0.29769077272727174,0.0010267000000000193,0.1993379,-0.4586439,322.57518129999994,0.4075492,0
160113,CREACION 2000,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130077,-73.395123,-4.082073,INNOVALAB,12,0,0,0,2299.6639518499996,1319.20826315,478.7816467,378.8932221,264.26680365,33.79010042272728,0.2180375,0.2880585,0.39385115,139.40630025,0.5433532,0,1249.5074264999998,1157.8995445,62.846301600000004,-0.7146153999999569,-0.7146152999999913,0.4919327727272744,0.0010013999999999856,0.011815800000000043,-0.04357929999999999,114.3987743,0.4513372,0
160113,NUEVO TRIUNFO,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130078,-73.497835,-4.126287,INNOVALAB,16,0,0.1875,0,2281.7579695,1301.0840511,477.21362735,379.4474582,263.35986290000005,32.73924475454545,0.21689465,0.23073870000000002,0.81285405,105.79314105,0.52592455,0,1229.3701118,1136.8620928,59.71757250000002,-0.543565000000001,-0.543565000000001,-1.3516966727272788,0.001323899999999989,0.04335700000000001,0.06697109999999995,108.8705665,0.46975970000000006,0
160113,HUAMBE,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130079,-73.49033,-4.162137,INNOVALAB,59,0,0,0,2269.97879655,1289.61264785,480.79656094999996,379.89397795,263.79085555,32.92383312727273,0.21704355,0.2555063,0.7989821,106.33006455,0.48848965,0,1214.1429561000002,1123.4567766999999,59.572467700000004,-0.5192043000000126,-0.5192042999999558,-0.8522446545454514,0.0013274999999999815,0.056098200000000015,-0.13641440000000005,57.8295657,0.4198739,0
160113,10 DE OCTUBRE II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130082,-73.462008,-4.15309,INNOVALAB,86,0,0,0,2275.14915405,1294.9494657,480.96601115,379.7413451,264.07953150000003,32.966580404545454,0.2174675,0.26532365,0.81220795,117.47858375,0.518778,0,1219.8857227,1128.4048183999998,60.70153850000003,-0.5470811999999796,-0.5470812000000365,-0.9715042272727317,0.0012666000000000066,0.0560263,-0.0412979,96.58400209999999,0.4866864000000001,0
