codigo,village,pr2021,pr2010,delta_pr,ro2021,ro2010,delta_ro,soil2021,soil2010,delta_soil,tmmx2021,tmmx2010,delta_tmax,tmmn2021,tmmn2010,delta_tmin,ETP_2021,ETP_2010,delta_ETP,humidity_2021,humidity_2010,delta_humidity,pop2020,pop2010,delta_pop,def_2021,def_2010,delta_def,GHS_2010_mean,GHS_2020_mean,delta_GHS,lat,lon
1601130036,VILLA EL BUEN PASTOR,2992.5145915,1697.1551306,76.3253421884921,1965.9016499,763.8887182,157.3544553102421,498.1016499,432.7999009,15.088207937249084,376.7067879,377.3862706,-0.18004966076791723,262.2597037,262.9391864,-0.2584181952119991,32.44658148333333,32.685329349999996,-0.7304435091049919,0.2180965,0.217375,0.3319148936170148,0.73568770000000006,0.5060649,45.37418026818299,0.7988027,0.6248321,27.842775683259546,9.21761133603239,21.24418016194332,56.61112236,-3.9490598889999546,-73.36246788399995
1601130026,SAN JOSE,3001.1153123,1701.5449371,76.37590679297024,1975.3038206,770.2562605,156.44761644881171,493.4020934,428.8071315,15.063873045684172,376.8933535,377.3627586,-0.12439094460234773,261.8044789,262.273884,-0.17897515865514738,31.879494508333334,31.931540125,-0.16299125085394742,0.2178422,0.2170491,0.36540119263338056,0.57298,0.3972735,44.22809475084546,0.798444,0.463028,72.43967967379943,8.569602632245001,20.288407997975195,57.76108883,-3.9317357239999637,-73.39156817399999
1601130012,3 DE OCTUBRE,2986.0955707,1693.2473246,76.35318404565692,1959.7917658,759.8947681,157.9030476417357,500.7274376,435.5174841,14.972981770124987,376.8644075,377.6051526,-0.19616922462513284,262.5652101,263.3059552,-0.2813248562636484,32.834098166666664,32.75151270833334,0.25215769136768335,0.2181697,0.2174368,0.33706345935921644,0.6192411,0.4431963,39.72163125008038,0.7273676,0.7182167,1.274114066130732,6.706686930091186,15.56775582573455,56.91937229,-3.9662161749999427,-73.36157188999994
1601130013,BELEN DE JUDA,2984.81202,1692.3494525,76.37090351468055,1958.7281871,759.1783184,158.0063391731341,500.9015359,435.9633404,14.895333960974487,377.1776693,377.8384333,-0.17488003912915567,262.5741664,263.2349304,-0.2510168384552554,32.94658976666667,32.72353865,0.6816228496934493,0.2180391,0.2172351,0.3701059359192078,0.5707309,0.3686192,54.8294011814903,0.7296717,0.8356661,-12.683821923612786,8.457663586887735,20.846728262245286,59.42929998,-3.978226551999967,-73.38412630799996
1601130031,13 DE FEBRERO,2972.6731398,1687.3040226,76.17886877430361,1943.9527395,752.4364906,158.35439452835064,501.1398296,437.7691866,14.475811669655776,377.6803032,378.178495,-0.1317345662396727,262.5060141,263.0042059,-0.1894235106602804,32.939257575,32.974979508333334,-0.10833041859603641,0.2177098,0.2166991,0.46640710552097503,0.5044411,0.3097244,62.867730149771845,0.4669749,0.7821411,-40.29531244426357,7.234780407543349,11.815086697886343,38.76659061,-4.014409999999941,-73.43398833299995
1601130020,5 DE JUNIO,2974.4882338,1687.6116919,76.25430352708497,1947.0203617,752.8546941,158.61834653598928,503.7688234,438.9232004,14.773797088170504,377.5801437,378.2123359,-0.16715271819351038,262.9678325,263.60002480000003,-0.23983013676865267,33.955545675,33.01231725833333,2.857201478119717,0.2181469,0.2172718,0.4027674093002486,0.5042214,0.3473713,45.15344244040888,0.8205649,0.6863028,19.563099553141857,5.952145841245727,13.30358273199139,55.25907599,-4.003298333999965,-73.39308999999997
1601130032,PAUJIL I ZONA,2956.7495666,1683.5988905,75.62078374391754,1928.0003963,747.5052256,157.9246713295485,503.5046312,440.4502204,14.315899477297668,378.0985537,378.6597256,-0.14819952111642704,262.9563178,263.5174897,-0.21295432824547608,33.080761275,33.27676511666667,-0.5890111042328985,0.2178342,0.2167827,0.4850479304852328,0.5709041,0.3407466,67.54506134470601,0.5113246,0.9742469,-47.51591203420817,6.444922765257027,10.863889592301849,40.67573395,-4.042299999999955,-73.43765833299994
1601130030,PAUJIL II ZONA,2975.6485014,1687.3773099,76.34754740042982,1947.7634382,754.212435,158.25130265851428,496.8338023,434.8837107,14.245208563982207,377.593728,377.9842309,-0.10331195538771386,261.9097201,262.3002229,-0.14887627455385546,31.822475591666667,32.72974680833333,-2.772008051206996,0.2174959,0.2164625,0.4774037073396038,0.3364893,0.2180165,54.34120811956893,0.2303101,0.6552043,-64.84911652747091,3.103910897354765,5.121503607138337,39.39453849,-4.003309999999942,-73.46996833299994
1601130029,24 DE JUNIO,2968.4056679,1686.4539734,76.01462682764492,1939.4468391,750.7588684,158.33152570455871,502.8766845,439.0720967,14.531688139498216,377.8154727,378.3487019,-0.14093591370135844,262.7917905,263.3250198,-0.20249853219607214,33.4804313,33.100577933333334,1.1475732158867875,0.2178774,0.216881,0.45942244825503775,0.5261234,0.3345838,57.2471231422442,0.5424229,0.7518794,-27.857725587374777,7.718477298596181,12.616795244719869,38.82378886,-4.021109999999965,-73.42367166699995
1601130033,NUEVO HORIZONTE,2937.7040377,1678.7597721,74.99252046200493,1910.7220213,743.82378,156.87831885396295,505.2301858,443.0207332,14.042108627885776,378.4974882,379.0955512,-0.15776049022649882,263.2862026,263.8842655,-0.22663833285656895,33.046601716666665,33.22548365833333,-0.5383877733915283,0.2178455,0.2167498,0.5055137305778391,0.4721282,0.2888982,63.42372503532386,0.5553374,0.8872165,-37.40677726349769,8.651100987091876,12.896735003796508,32.92022373,-4.071663332999947,-73.44562833299995
