ubigeocp,poblacion,cases_2010,cases_2019
1603010077,131,4,1
1603010078,75,0,0
1603010079,32,1,1
1603010080,114,1,1
1603010081,26,0,0
1603010082,62,0,0
1603010083,0,0,0
1603010084,21,0,0
1603010085,23,0,0
1603010086,78,0,0
1603010087,112,0,0
1603010088,39,0,0
1603010090,80,1,2
1603010099,183,1,0
1603010100,177,0,0
1603010101,64,0,0
1603010102,35,0,0
1603010103,61,0,0
1603010104,102,0,0
1603010105,38,0,0
1605070001,1089,3,4
1605070002,72,0,0
1605070003,79,2,0
1605070004,55,0,0
1605070005,170,0,0
1605070006,104,1,0
1605070007,43,0,0
1605070008,167,0,0
1605070009,52,0,0
1605070010,266,0,0
1605070011,96,0,0
1605070012,179,0,0
1605070013,19,0,0
1605070014,360,0,3
1605070015,284,0,0
1605070016,73,0,0
1605070017,257,0,0
