ubigeocp,pr_2010,pr_2021,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2010,def_2021,ghsl_2010,ghsl_2020,ln_2021,ln_2014
1601130084,1640.8615926,2805.5148559,1781.8730316,701.2779538,513.7736605,463.5999554,381.0247846,381.6769436,264.3075072,264.9596662,32.652294499999996,33.72571811818182,0.2181578,0.2165428,0.2071996,0.2202616,0.4184378,0.4529197,51.0127682,100.4766346,0.5227325,0.3107319
1601130086,1633.5646023,2785.1996438,1761.0036605,690.1790661,514.5537149,470.287683,380.9987732,381.5796498,263.9801741,264.5610507,32.38762728181818,32.59055655454546,0.2176673,0.2159304,0.3009844,0.2928585,0.7090458,0.2062203,97.6173439,123.0371867,0.4596895,0.2901116
1601130088,1668.2530449,2901.0467373,1874.1064957,733.7340331,507.2751114,447.0646302,379.1429003,379.6943509,263.2672443,263.8186949,32.295647,33.38687674545454,0.2177696,0.2164914,0.3034193,0.2269846,0.9269714,0.7780443,330.9970488,576.0051502,0.8061733,0.3119873
1601130089,1665.8020488,2887.1737022,1861.1594002,731.3213243,511.2567823,450.4489632,379.423764,379.9717128,263.8254813,264.37343,32.56188724545454,33.49888517272727,0.2181286,0.2168661,0.2988643,0.2376757,0.9260843,0.6862648,115.5195666,232.8472124,0.7782326,0.2783579
1601130090,1661.9568381,2867.9916844,1844.2175419,727.9978221,513.9811068,454.8373311,379.5256348,380.0445627,264.0155076,264.5344355,32.283486599999996,33.96808720909091,0.2182162,0.2169319,0.2355068,0.2085649,0.4704998,0.5123834,56.8739946,127.403366,0.7211062,0.2828817
1601130097,1716.1339711,3008.1797185,1977.4593081,782.5699346,481.3695876,414.635567,377.9247819,378.2886499,262.1743705,262.5382385,29.768535654545452,31.017778472727272,0.2184941,0.2178228,2.6231869,1.6804287,1.0940833,0.8336378,13355.9805606,16601.5503518,3.6344207,2.2770957
1601130069,1713.7342023,3006.4907568,1976.0042127,779.8814492,483.6965951,417.0129454,377.6540368,378.0342667,262.1821629,262.5623928,30.35008531818182,31.23577036363637,0.2184877,0.2178065,2.7444578,1.5187699,1.1116538,0.8053557,8115.9013833,10676.8157168,2.9088141,1.8269512
1601130093,1709.4469498,3004.3164181,1974.2877249,775.2105654,488.1758363,421.7973487,377.1029486,377.4856831,262.0861044,262.4688389,31.17142220909091,31.78330510909091,0.2184169,0.2177223,2.3842059,1.3312145,0.7233917,1.253926,4687.4566311,6361.4586239,1.96735,1.0655182
1603010041,1630.5153568,2680.2625748,1649.1338345,674.510955,546.3462634,508.304105,383.4944755,383.9171819,264.9623918,265.3540432,31.53841370909091,34.79380864545455,0.2192719,0.2169935,0.5010323,0.5797407,0.1613351,0.6503372,2052.9834368,2459.4985793,0.8517084,0.5911187
1603010024,1615.8013861,2722.1348515,1692.4756931,662.7754455,515.3945248,486.8186733,383.0895,383.6153911,265.0904554,265.6160099,31.780186263636363,34.735499318181816,0.2186032,0.2165947,0.6507351,0.4252409,0.0386586,0.5098817,3255.8618877,3544.5031683,1.1657098,0.7719304
1603010099,1630.3910761,2768.4430248,1744.5793097,685.0286733,517.6847373,475.6380478,381.0248799,381.6749468,263.6305948,264.2806616,31.57856146363636,32.10756139090909,0.2173668,0.2155981,0.2891719,0.2734898,0.4451156,0.2967128,64.5238033,85.2057173,0.4404273,0.2754123
1603010101,1615.7256309,2728.4151905,1699.3552697,663.179713,512.3841069,484.6843988,382.8600148,383.4060366,264.9603464,265.5063681,31.813496154545454,34.43326857272727,0.218489,0.2165136,0.2129695,0.2132153,0.025275,0.4019093,313.6834856,432.8859758,0.6887024,0.3504555
